FIRE_NAME,FIRE_YEAR,STAT_CAUSE_DESCR,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE
FOUNTAIN,2005,Miscellaneous,2.5,40.03694444,-121.0058333,CA
PIGEON,2004,Lightning,2.5,38.93305556,-120.4044444,CA
SLACK,2004,"Debris Burning",2.5,38.98416667,-120.7355556,CA
DEER,2004,Lightning,2.5,38.55916667,-119.9133333,CA
STEVENOT,2004,Lightning,2.5,38.55916667,-119.9330556,CA
HIDDEN,2004,Lightning,2.5,38.63527778,-120.1036111,CA
FORK,2004,Lightning,2.5,38.68833333,-120.1533333,CA
SLATE,2005,"Debris Burning",5,40.96805556,-122.4338889,CA
SHASTA,2005,"Debris Burning",5,41.23361111,-122.2833333,CA
TANGLEFOOT,2004,Lightning,2.5,38.54833333,-120.1491667,CA
"FORK #2",2004,Lightning,2.5,38.69166667,-120.1597222,CA
"MOKE #2",2004,Lightning,2.5,38.5275,-120.1061111,CA
WRIGHTS,2004,Miscellaneous,2.5,38.78666667,-120.1933333,CA
TIGER,2004,Campfire,5,38.43333333,-120.51,CA
BROWN,2004,Lightning,2.5,38.67583333,-120.2797222,CA
SOPIAGO,2004,Lightning,2.5,38.56416667,-120.5422222,CA
POWER,2004,"Equipment Use",50,38.52333333,-120.2116667,CA
FREDS,2004,"Equipment Use",50,38.78,-120.26,CA
HARTLESS,2004,"Debris Burning",2.5,38.945,-120.4116667,CA
SPRING,2004,Lightning,2.5,33.44083333,-105.7205556,NM
ANGRY,2004,Lightning,2.5,33.30722222,-105.6286111,NM
DARK,2004,Lightning,2.5,33.44444444,-105.7680556,NM
"CHURCH #2",2004,Lightning,2.5,33.55944444,-105.7661111,NM
"PINE CONE",2004,Lightning,2.5,33.30805556,-105.5261111,NM
EAGLE,2004,Lightning,5,33.54527778,-105.2294444,NM
BACHELOR,2004,Lightning,10,33.31583333,-105.5122222,NM
SONTERRA,2004,Miscellaneous,5,33.44444444,-105.6311111,NM
PEPPER,2004,Lightning,2.5,33.36805556,-105.5072222,NM
120A,2004,"Debris Burning",2.5,33.38527778,-105.6386111,NM
MUSKETBURN,2004,"Debris Burning",2.5,33.38277778,-105.7002778,NM
OREGON,2004,Lightning,2.5,33.37972222,-105.6802778,NM
